revenue,net profit,operating profit,interest revenue,cash,current assets,liabilities,marketable securities,current other assets,provisions for employees,non-current assets,goodwill,intangible assets,assets,current liabilities,equity,shares,inventories,shares authorized,net operating cashflows,net investing cashflows,net financing cashflows,bank: non-banking investing cashflow,bank: banking investing cashflow,payment for supplies,payment for employees,property sales (operating),dividends paid,forex,trade receivables,prepayments,cash on hands,cash on banks,cash short investment,employee benefits,Date,TICKER
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,201603,AQUACHILE
7284000.0,-2875000.0,-2875000.0,,1623000.0,24217000.0,42231000.0,1160000.0,602000.0,,51501000.0,,256000.0,75718000.0,26895000.0,33468000.0,298774203.0,14230000.0,298774203.0,1538000.0,-140000.0,-1507000.0,,,1747000.0,879000.0,,,-408000.0,4935000.0,,,,,879000.0,201603,ATHENA
1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,201603,ATHENA
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,201603,ATHENA
,986000,986000,,,,234577000.0,,,,641783000.0,,,641783000.0,234577000.0,407206000.0,1400000.0,,1400000.0,-6104000,,6104000,,,2771000,3333000,,,,,,,,,3333000,201603,ATSA
2.0,0,0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0,2.0,0,2.0,2.0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,201603,ATSA
0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201603,ATSA
75948000.0,5625000.0,5625000.0,,8921000.0,237175000.0,340453000.0,,2931000.0,3235000.0,232795000.0,,33248000.0,469970000.0,282911000.0,129517000.0,6825687194.0,79215000.0,6882395371.0,982000.0,-2742000.0,4053000.0,,,74462000.0,4482000.0,,,,28933000.0,,,1311000.0,7293000.0,1378000.0,201603,AUSTRALIS
1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,201603,AUSTRALIS
1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,201603,AUSTRALIS
,20894604000.0,20894604000.0,,23473000.0,2364919000.0,74332073000.0,,,,91010450000.0,,3303000.0,93375369000.0,4085000.0,19043296000.0,40945048730.0,,40945048730.0,-1784000.0,,80000.0,,,1784000.0,,,,,,,,15538000.0,7935000.0,,201603,AXXION
2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,201603,AXXION
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201603,AXXION
3339843000,-517557000,-517557000,,619842000.0,5279568000.0,14419001000.0,,438381000.0,111716000.0,23609440000.0,,13032212000.0,28889008000.0,8345791000.0,14470007000.0,36520030.0,16229000.0,36520030.0,407893000,-2646504000,2214807000,,,1757104000,2060759000,,86000,-57177000,1925360000.0,710526000.0,,616103000.0,,2298367000,201603,AZUL AZUL
0,0,0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,2.0,2.0,0,0,2.0,0,0,1.0,1.0,2.0,1.0,2.0,0,201603,AZUL AZUL
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,201603,AZUL AZUL
336449857000.0,19783283000.0,19783283000.0,2414533000.0,67365317000.0,331191962000.0,723691596000.0,27824411000.0,27492961000.0,3417502000.0,718928663000.0,48323030000.0,95024942000.0,1050120625000.0,403355543000.0,266717330000.0,804681783.0,11500965000.0,804681783.0,21058302000.0,-20463980000.0,4549745000.0,,,437785742000.0,78814292000.0,23947000.0,50000000.0,698891000.0,179602515000.0,,,30732467000.0,16311327000.0,,201603,BANMEDICA
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,201603,BANMEDICA
