revenue,net profit,operating profit,non-controlling profit,eps,operating-eps,interest revenue,cash from sales,cash from yield,cash from rent,cash to payments,cash to other payments,speculation cash,current payables,cost of sales,ebit,depreciation,interest,cash,current assets,liabilities,marketable securities,current other assets,provisions for employees,non-current assets,goodwill,intangible assets,assets,current liabilities,equity,shares,inventories,shares authorized,net operating cashflows,net investing cashflows,net financing cashflows,bank: non-banking investing cashflow,bank: banking investing cashflow,payment for supplies,payment to employees,property sales (operating),dividends paid,forex,trade receivables,prepayments,cash on hands,cash on banks,cash short investment,employee benefits,Date,TICKER
10.0,10.0,10.0,10.0,12.0,12.0,12.0,10.0,12.0,12.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,12.0,10.0,10.0,12.0,12.0,10.0,12.0,10.0,201303,CAMANCHACA
102984356000.0,3224345600.0,3549356000.0,1899303200.0,0.0019,0.0019,,141944693600.0,,,124623684800.0,,,64247510400.0,,4475143200.0,1141703200.0,533350400.0,8650276800.0,280846865600.0,177907208000.0,11651130400.0,9802586400.0,,170754706400.0,11871592000.0,2453866400.0,451601572000.0,117396938400.0,118085596800.0,934796001.0,84961052000.0,934796001.0,1509896800.0,-2047792800.0,-12945111200.0,,,124623684800.0,7275990400.0,1180340800.0,,-1118975200.0,109273193600.0,,,8325266400.0,,5506236800.0,201303,CAMPOS
10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,12.0,12.0,10.0,12.0,12.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,12.0,10.0,10.0,12.0,12.0,10.0,12.0,10.0,201303,CAMPOS
46902000.0,19398000.0,19398000.0,,,,,5259000.0,,,18393000.0,915000.0,,11544000.0,11252000.0,20680000.0,3470000.0,,78717000.0,89025000.0,25286000.0,,,,218945000.0,,118230000.0,307970000.0,25286000.0,282684000.0,383155.0,41000.0,383155.0,-18160000.0,,,,,18393000.0,16641000.0,,,,1699000.0,,,78417000.0,,12781000.0,201303,CANALISTAS
10.0,10.0,10.0,12.0,12.0,12.0,12.0,10.0,12.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,12.0,12.0,12.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,10.0,10.0,12.0,12.0,12.0,10.0,12.0,12.0,10.0,12.0,10.0,201303,CANALISTAS
368674676000.0,50761472800.0,50761472800.0,16559620800.0,,,,543549968800.0,,,266203215200.0,,,398754426400.0,263018264800.0,75995613600.0,24912160800.0,,246366974400.0,1272577084800.0,1642614683200.0,232197581600.0,34831417600.0,35987515200.0,2744321148800.0,1338679200.0,641555377600.0,4016898233600.0,633199049600.0,1404547216800.0,149448112.0,396283135200.0,149448112.0,189431061600.0,-114009708800.0,-52916087200.0,,,266203215200.0,53022151200.0,131064800.0,52451678400.0,144701600.0,280569584000.0,2114461600.0,,18265736000.0,42649849600.0,55847999200.0,201303,CAP
10.0,10.0,10.0,10.0,12.0,12.0,12.0,10.0,12.0,12.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,201303,CAP
132293019000.0,8318147000.0,8318147000.0,2198497000.0,,,,159016205000.0,,,151161942000.0,,,69135439000.0,87304362000.0,10874615000.0,3900808000.0,,3184908000.0,295374392000.0,508475312000.0,2173994000.0,471529000.0,,470396066000.0,,112063844000.0,765770458000.0,286363412000.0,186663288000.0,194225254.0,135835121000.0,194225254.0,-2704034000.0,-13184791000.0,13345849000.0,,,151161942000.0,10646435000.0,22880000.0,394000.0,,134378474000.0,,,2900225000.0,,15295910000.0,201303,CAROZZI
10.0,10.0,10.0,10.0,12.0,12.0,12.0,10.0,12.0,12.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,12.0,10.0,12.0,12.0,10.0,12.0,10.0,201303,CAROZZI
1454758000.0,115676000.0,115676000.0,,39.89,39.89,,1417358000.0,,,992711000.0,101652000.0,,1005254000.0,1245781000.0,140612000.0,62944000.0,,9920000.0,2241302000.0,1255181000.0,,7236000.0,,3718146000.0,,15090000.0,5959448000.0,1173594000.0,4704267000.0,2900000.0,97548000.0,2900000.0,269018000.0,-37077000.0,-326683000.0,,,992711000.0,48358000.0,,,,1191873000.0,,,9286000.0,,,201303,CASABLANCA
10.0,10.0,10.0,12.0,10.0,10.0,12.0,10.0,12.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,12.0,10.0,12.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,12.0,12.0,12.0,10.0,12.0,12.0,10.0,12.0,12.0,201303,CASABLANCA
304100115000.0,42102083000.0,42102083000.0,1786669000.0,127.0,127.0,1074371000.0,414854888000.0,,,254925044000.0,56718787000.0,,140981604000.0,129916127000.0,53549888000.0,15172853000.0,5012985000.0,105374162000.0,464775981000.0,576587915000.0,1571429000.0,18897473000.0,9276133000.0,837683763000.0,76446567000.0,58174745000.0,1302459744000.0,345017766000.0,628102661000.0,318502872.0,142496996000.0,318502872.0,56304294000.0,-24100934000.0,-27951945000.0,,,254925044000.0,39934035000.0,57833000.0,21971528000.0,-1214528000.0,150452921000.0,,,24048690000.0,32678555000.0,35861310000.0,201303,CCU
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,201303,CCU
74373207000.0,3274827000.0,3274827000.0,833651000.0,,,,75021346000.0,,,65901421000.0,,,65583441000.0,47225787000.0,4722403000.0,4157233000.0,-2942473000.0,5358176000.0,127860778000.0,268572268000.0,4565923000.0,1933315000.0,4071477000.0,384796253000.0,13154554000.0,4797254000.0,512657031000.0,91090906000.0,224435096000.0,264221000.0,32350136000.0,264221000.0,-2639373000.0,-6364547000.0,5037515000.0,,,65901421000.0,9712691000.0,91600000.0,8689000.0,-965000.0,69489144000.0,,,3491028000.0,1316127000.0,8235537000.0,201303,CEMENTOS
10.0,10.0,10.0,10.0,12.0,12.0,12.0,10.0,12.0,12.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,201303,CEMENTOS
7251747200.0,981849600.0,981849600.0,,0.0043226,0.0043226,,7410843200.0,,,6201713600.0,141671200.0,,2747057600.0,4454688000.0,1222008800.0,198491200.0,2272800.0,1077307200.0,14514100800.0,7444177600.0,,87881600.0,170460000.0,11025352800.0,,,25539453600.0,6047920800.0,18095276000.0,299816536.0,5956251200.0,299816536.0,-240159200.0,-64396000.0,-121973600.0,,,6201713600.0,1269737600.0,6060800.0,,,6672183200.0,,,540168800.0,531077600.0,,201303,CEM
10.0,10.0,10.0,12.0,10.0,10.0,12.0,10.0,12.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,12.0,12.0,10.0,12.0,12.0,10.0,10.0,12.0,201303,CEM
