revenue,net profit,operating profit,interest revenue,cash from sales,cash from yield,cash from rent,cash to payments,cash to other payments,speculation cash,current payables,cost of sales,ebit,depreciation,interest,cash,current assets,liabilities,marketable securities,current other assets,provisions for employees,non-current assets,goodwill,intangible assets,assets,current liabilities,equity,shares,inventories,shares authorized,net operating cashflows,net investing cashflows,net financing cashflows,bank: non-banking investing cashflow,bank: banking investing cashflow,payment for supplies,payment to employees,property sales (operating),dividends paid,forex,trade receivables,prepayments,cash on hands,cash on banks,cash short investment,employee benefits,Date,TICKER
0,0,0,2.0,0,2.0,2.0,0,0,2.0,0.0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,2.0,0,0,0,0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,201303,BESALCO
0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,201303,BESALCO
159703070000,16017777000,16017777000,,56035543696000,,,55853428526000,,,2871166495000,115415883000,20059989000,1422170000,,285913162000,4048647968000,5746023355000,2181098236000,99648918000,3790319000,2288965632000,23458943000,2719192000,6337613600000,3299171216000,591405582000,85087030,,85087030,86561039000,-13287787000,-9896231000,,,55853428526000,14159094000,724008000,,,1434184966000,,,225883536000,21577062000,14374738000,201303,BICECORP
0,0,0,2.0,0,2.0,2.0,0,2.0,2.0,0.0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,2.0,2.0,0,0,0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0,201303,BICECORP
0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,201303,BICECORP
93505000,1085000,1085000,,104903000,,,85375000,6252000,,74364000,88330000,2038000,6472000,,14597000,239512000,317643000,10076000,,,411070000,1439000,58463000,650582000,170761000,324958000,1238342900,60888000,1238342900,3116000,-6686000,10856000,,,85375000,12148000,1091000,,,35732000,,,14460000,,,201303,BLUMAR
0,0,0,2.0,0,2.0,2.0,0,0,2.0,0.0,0,0,0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,2.0,0,0,0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,201303,BLUMAR
1,1,1,0.0,1,0.0,0.0,1,1,0.0,1,1,1,1,0.0,1,1,1,1,0.0,0.0,1,1,1,1,1,1,0,1,0,1,1,1,0.0,0.0,1,1,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,201303,BLUMAR
5012060000,1899387000,1899387000,,5335473000,,,2706622000,,,4168215000,,2323835000,420478000,,8033556000,25950686000,16797126000,13663847000,134886000,355425000,22992820000,,2820854000,48943506000,5023260000,31961551000,48,,48,160053000,227473000,6059000,,,2706622000,2375646000,,,9457000,1904187000,,,1610272000,,1503592000,201303,BOLSASTGO
0,0,0,2.0,0,2.0,2.0,0,2.0,2.0,0.0,2.0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,2.0,2.0,0,0,2.0,2.0,0,0.0,2.0,2.0,0.0,2.0,0,201303,BOLSASTGO
